ID,gender,region,age,city,q1_rating,q1_reason,q2_rating,q2_reason,q2_reason-Comment,q3_rating,q3_reason,q4_1_rating,q5_1_rating,rating_outside_توفر المنتجات البترولية,rating_outside_المسافات بين المحطات,rating_outside_النظافة العامة لمرافق المحطة,rating_outside_نظافة وصيانة المسجد,rating_outside_نظافة دورات المياه,rating_outside_مظهر العاملين,rating_outside_تنوع العلامات التجارية (مطاعم ومقاهي),rating_outside_مستوى التموينات,rating_outside_خدمات السيارات (مغسلة - تغيير زيوت...),rating_inside_توفر المنتجات البترولية,rating_inside_المسافات بين المحطات,rating_inside_النظافة العامة لمرافق المحطة,rating_inside_توفر المصليات,rating_inside_توفر دورات المياه,rating_inside_مظهر العاملين,rating_inside_التموينات,rating_inside_خدمة تعبئة الماء والهواء المجانية,question1,HappendAt,InstanceId
1,"ذكر","منطقة الرياض","من 40 إلى 55 سنة","الرياض","2","المظهر العام لمحطات الوقود
التفاوت في الخدمات المقدمة
ضعف التقدم في تطوير المحطات","3","other","مساحات المحطات داخل المدن ضيقة ولا يوجد خدمات متكاملة في اغلب المحطات","5",,"2","1","2","4","2","3","2","3","3","4","4","1","3","2","2","1","2","4","1","توسيع المساحات وتنويع الخدمات والنظافة لجميع مرافق المحطات","5/1/2025, 6:48:09 PM",
2,"ذكر","المنطقة الشرقية","من 30 إلى 39 سنة","الأحساء","5",,"1","عدم توفر وقود 91
عدم توفر وقود 95
عدم توفر ديزل
other",".","5",,"5","5",,,,,,,,,,,,,,,,,,".","5/1/2025, 6:29:13 PM",
3,"أنثى","منطقة الرياض","من 40 إلى 55 سنة","الرياض","2","التفاوت في الخدمات المقدمة","3","عدم توفر وقود 91",,"3","عدم توفر الدفع بالبطاقات الائتمانية
عدم توفر الدفع بالمحافظ الرقمية","3","4","4","2","3","2","1","2","3","4","3",,,,,,,,,,"5/4/2025, 1:25:05 AM",
4,"ذكر","منطقة المدينة المنورة","من 30 إلى 39 سنة","المدينة المنورة","5",,"5",,,"5",,"5","5",,,,,,,,,,,,,,,,,,,"5/18/2025, 5:47:45 PM",
5,"ذكر","منطقة الرياض","من 18 إلى 29 سنة","الرياض","3","ضعف التقدم في تطوير المحطات","4",,,"5",,"5","5",,,,,,,,,,,,,,,,,,,"5/1/2025, 6:44:49 PM",
6,"ذكر","منطقة الرياض","من 40 إلى 55 سنة","الرياض","5",,"5",,,"3","عدم توفر الدفع بالبطاقات الائتمانية","5","5",,,,,,,,,,,,,,,,,,,"5/18/2025, 6:01:45 PM",
7,"ذكر","منطقة الرياض","من 40 إلى 55 سنة","الرياض","4",,"5",,,"5",,"2","5","5","4","2","2","1","2","2","4","1",,,,,,,,,,"5/1/2025, 5:58:25 PM",
8,"ذكر","منطقة الرياض","من 40 إلى 55 سنة","الرياض","5",,"5",,,"5",,"5","5",,,,,,,,,,,,,,,,,,,"5/2/2025, 10:27:29 AM",
9,"ذكر","المنطقة الشرقية","من 40 إلى 55 سنة","الأحساء","3","ضعف التقدم في تطوير المحطات","4",,,"3","عدم توفر الدفع بالبطاقات الائتمانية","2","2","4","5","1","3","1","5","1","4","4","5","5","1","3","1","5","4","1","نظافة دورات المياة وتوفير المطاعم للواجبات السريعة وليس العلامات التجارية لكي تكون الاسعار في متناول أفراد المجتمع","5/18/2025, 5:22:51 PM",
10,"ذكر","منطقة الرياض","من 40 إلى 55 سنة","الرياض","4",,"4",,,"4",,"3","4","5","5","4","4","3","4","4","4","4",,,,,,,,,,"5/19/2025, 10:04:48 AM",
11,"ذكر","منطقة مكة المكرمة","من 30 إلى 39 سنة","جدة","4",,"5",,,"3","عدم توفر الدفع بالبطاقات الائتمانية","5","4",,,,,,,,,,,,,,,,,,,"5/1/2025, 5:41:53 PM",
12,"ذكر","منطقة المدينة المنورة","من 30 إلى 39 سنة","ينبع","5",,"4",,,"2","عدم توفر الدفع بالبطاقات الائتمانية","4","2",,,,,,,,,,"5","4","4","3","2","5","5","5","مستوى نظافة دورات المياه والمساجد تحتاج الى تطوير ","5/18/2025, 5:48:13 PM",
13,"ذكر","منطقة الرياض","أكثر من 60 سنة","الرياض","3","ضعف التقدم في تطوير المحطات","5",,,"5",,"3","4","5","5","3","4","2","3","2","5","4",,,,,,,,,"نظافه المرافق من مطاعم وكافيهات","5/1/2025, 6:59:36 PM",
14,"ذكر","منطقة الرياض","من 56 إلى 60 سنة","الرياض","4",,"5",,,"3","عدم توفر الدفع بالبطاقات الائتمانية","5","3",,,,,,,,,,,,,,"3","3","5","5","قبول الدفع بالبطاقة الائتمانية ونظافة دورات المياة في المحطات الداخلية","5/3/2025, 3:33:37 AM",
15,"ذكر","منطقة الرياض","من 18 إلى 29 سنة","وادي الدواسر","4",,"4",,,"5",,"4","4",,,,,,,,,,,,,,,,,,,"5/18/2025, 4:49:12 PM",
16,"ذكر","منطقة الرياض","من 18 إلى 29 سنة","الرياض","5",,"5",,,"5",,"4","4",,,,,,,,,,,,,,,,,,,"5/1/2025, 8:37:40 PM",
17,"ذكر","المنطقة الشرقية","من 18 إلى 29 سنة","القطيف","3","المظهر العام لمحطات الوقود
التفاوت في الخدمات المقدمة
ضعف التقدم في تطوير المحطات","4",,,"1","عدم توفر الدفع بالبطاقات الائتمانية","3","4","4","3","2","3","2","4","3","4","3",,,,,,,,,,"5/1/2025, 5:56:20 PM",
18,"ذكر","منطقة الرياض","من 40 إلى 55 سنة","الرياض","4",,"5",,,"5",,"2","5","5","2","1","1","1","1","4","4","4",,,,,,,,,"الدفع الإلكتروني.  عن طريق مسدس التعبئه . او مضخة البنزين ","5/18/2025, 5:45:30 PM",
19,"ذكر","منطقة الرياض","من 30 إلى 39 سنة","الرياض","4",,"5",,,"2","عدم توفر الدفع بالبطاقات الائتمانية","4","4",,,,,,,,,,,,,,,,,,,"5/1/2025, 7:25:37 PM",
20,"ذكر","منطقة الرياض","من 40 إلى 55 سنة","الرياض","5",,"4",,,"4",,"4","4",,,,,,,,,,,,,,,,,,,"5/18/2025, 5:07:48 PM",
21,"ذكر","منطقة مكة المكرمة","من 30 إلى 39 سنة","جدة","5",,"5",,,"5",,"5","5",,,,,,,,,,,,,,,,,,,"5/18/2025, 7:06:16 PM",
22,"ذكر","المنطقة الشرقية","من 40 إلى 55 سنة","الجبيل","4",,"3","عدم توفر ديزل",,"5",,"5","5",,,,,,,,,,,,,,,,,,"إلزام المحطات بتوفير مضخة الديزل للسيارات الصغيرة","5/18/2025, 6:29:38 PM",
23,"ذكر","منطقة الرياض","من 30 إلى 39 سنة","الرياض","5",,"5",,,"1","عدم توفر الدفع بالبطاقات الائتمانية","1","5","5","3","1","1","1","5","5","1","1",,,,,,,,,,"6/17/2025, 2:31:15 PM",
24,"ذكر","منطقة القصيم","من 56 إلى 60 سنة","الرس","2","ضعف التقدم في تطوير المحطات
التفاوت في الخدمات المقدمة","3","عدم توفر وقود 95",,"3","عدم توفر الدفع بالبطاقات الائتمانية","2","3","3","3","3","3","2","4","3","3","4","3","3","4","3","2","4","3","3",,"5/18/2025, 5:04:50 PM",
25,"ذكر","المنطقة الشرقية","من 40 إلى 55 سنة","الأحساء","5",,"5",,,"5",,"3","5","5","5","2","3","3","4","5","5","5",,,,,,,,,"‏توفير تعبئة هواه الكترونيا","5/18/2025, 5:15:20 PM",
26,"ذكر","منطقة الرياض","من 30 إلى 39 سنة","الخرج","4",,"2","عدم توفر وقود 95",,"5",,"3","4","2","3","2","2","2","3","2","2","3",,,,,,,,,,"5/1/2025, 6:09:50 PM",
27,"ذكر","منطقة مكة المكرمة","من 56 إلى 60 سنة","جدة","4",,"4",,,"4",,"3","4","5","4","3","3","2","2","4","3","3",,,,,,,,,"جزاكم الله خيرا..زيادة الإهتمام بدورات المياة والمساجد والسكن المؤقت ..","5/1/2025, 6:54:32 PM",
28,"ذكر","منطقة المدينة المنورة","من 30 إلى 39 سنة","العلا","3","ضعف التقدم في تطوير المحطات
المظهر العام لمحطات الوقود
التفاوت في الخدمات المقدمة","2","عدم توفر وقود 95",,"3","عدم توفر الدفع ببطاقات مدى
عدم توفر الدفع بالبطاقات الائتمانية
عدم توفر الدفع بالمحافظ الرقمية
عدم قبول الدفع نقدًا","4","3",,,,,,,,,,"4","4","1","1","1","2","3","2",,"5/1/2025, 6:58:16 PM",
29,"ذكر","منطقة الرياض","من 30 إلى 39 سنة","المزاحمية","3","التفاوت في الخدمات المقدمة
المظهر العام لمحطات الوقود","5",,,"3","عدم توفر الدفع بالبطاقات الائتمانية","5","4",,,,,,,,,,,,,,,,,,,"5/18/2025, 6:27:39 PM",
30,"ذكر","منطقة الرياض","من 40 إلى 55 سنة","الرياض","4",,"3","عدم توفر وقود 91
عدم توفر ديزل",,"5",,"1","4","3","3","1","1","1","4","4","4","2",,,,,,,,,"تكثيف الرقابة ووضع معايير اكثر صرامة","5/1/2025, 7:06:23 PM",
31,"ذكر","منطقة مكة المكرمة","من 40 إلى 55 سنة","جدة","1","المظهر العام لمحطات الوقود
التفاوت في الخدمات المقدمة
ضعف التقدم في تطوير المحطات
other","1","عدم توفر وقود 91
عدم توفر وقود 95",,"1","عدم توفر الدفع بالبطاقات الائتمانية
عدم توفر الدفع بالمحافظ الرقمية","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1",,"1","1","1",,"5/18/2025, 5:16:55 PM",
32,"ذكر","منطقة تبوك","من 18 إلى 29 سنة","تبوك","1","ضعف التقدم في تطوير المحطات
التفاوت في الخدمات المقدمة
المظهر العام لمحطات الوقود","2","عدم توفر وقود 95",,"5",,"2","3","2","3","1","1","1","3","1","4","3","1","2","1","1","1","1","4","1",,"5/18/2025, 6:00:44 PM",
33,"ذكر","منطقة الرياض","من 40 إلى 55 سنة","الرياض","4",,"4",,,"4",,"2","5","4","5","4","4","3","4","4","2","2",,,,,,,,,,"5/1/2025, 6:11:20 PM",
34,"ذكر","منطقة الرياض","من 40 إلى 55 سنة","الرياض","2","المظهر العام لمحطات الوقود
التفاوت في الخدمات المقدمة
ضعف التقدم في تطوير المحطات","5",,,"3","عدم توفر الدفع بالبطاقات الائتمانية","3","2","5","5","1","1","1","1","1","1","1","5","5","1","1","1","1","1","1",,"5/18/2025, 7:17:45 PM",
35,"ذكر","منطقة الرياض","من 30 إلى 39 سنة","الخرج","5",,"5",,,"5",,"3","5","4","3","3","4","2",,"3","1","1",,,,,,,,,"نرجو منكم التفتيش ع المحطات بااستمرار","5/2/2025, 2:26:03 AM",
36,"ذكر","منطقة الرياض","من 40 إلى 55 سنة","القويعية","3","التفاوت في الخدمات المقدمة
ضعف التقدم في تطوير المحطات
other","4",,,"5",,"3","3","4","4","2","2","1","4","2","3","3","3","4","3","1","1","3","2","1","القضاء على التستر التجاري في مسألة التأجير بالباطن ، التركيز على النظافة وخصوصا المساجد والفرش الذي فيها ودورات المياه كما أن سيطرة بعض الجاليات على العمل في بعض محطات الوقود جعل الخدمة متشابهة وعلى نمطهم. شكرًا لكم على طرح هذا الاستبيان","5/18/2025, 5:44:16 PM",
37,"ذكر","منطقة الرياض","من 18 إلى 29 سنة","الرياض","1","ضعف التقدم في تطوير المحطات","1","عدم توفر وقود 95",,"1","عدم توفر الدفع بالبطاقات الائتمانية","5","1",,,,,,,,,,"1","1","1","1","1","1","1","1","ض","5/1/2025, 5:29:53 PM",
38,"ذكر","منطقة عسير","من 40 إلى 55 سنة","أبها","4",,"4",,,"5",,"3","5","4","5","4","4","3","3","2","2","3",,,,,,,,,,"5/18/2025, 5:24:56 PM",
39,"ذكر","منطقة عسير","من 30 إلى 39 سنة","المجاردة","2","المظهر العام لمحطات الوقود
التفاوت في الخدمات المقدمة
ضعف التقدم في تطوير المحطات","3","عدم توفر وقود 95",,"1","عدم توفر الدفع بالبطاقات الائتمانية
عدم توفر الدفع بالمحافظ الرقمية","2","2","3","3","1","1","1","2","1","2","2","3","3","1","1","1","2","2","2","نظافة وصيانة دوراة المياه على مدار الساعة وتوفير مضخات خدمة ذاتية والزامهم بتوفير جميع وسائل الدفع وتوفير جهاز الكتروني ذاتي للهواء ل","5/1/2025, 7:05:15 PM",
